ticker;name;sector;sub_industry
HON;Honeywell;Industrials;Conglomerates
HRL;Hormel Foods;Consumer Defensive;Packaged Foods
HST;Host Hotels & Resorts;Real Estate;REIT—Hotel & Motel
HWM;Howmet Aerospace;Industrials;Aerospace & Defense
HPQ;HP Inc.;Technology;Computer Hardware
HUM;Humana;Healthcare;Healthcare Plans
HBAN;Huntington Bancshares;Financial Services;Banks—Regional
HII;Huntington Ingalls Industries;Industrials;Aerospace & Defense
IBM;IBM;Technology;Information Technology Services
IEX;IDEX Corporation;Industrials;Specialty Industrial Machinery
IDXX;Idexx Laboratories;Healthcare;Diagnostics & Research
ITW;Illinois Tool Works;Industrials;Specialty Industrial Machinery
ILMN;Illumina;Healthcare;Diagnostics & Research
INCY;Incyte;Healthcare;Biotechnology
IR;Ingersoll Rand;Industrials;Specialty Industrial Machinery
INTC;Intel;Technology;Semiconductors
ICE;Intercontinental Exchange;Financial Services;Financial Data & Stock Exchanges
IP;International Paper;Consumer Cyclical;Packaging & Containers
IPG;The Interpublic Group of Companies;Communication Services;Advertising Agencies
IFF;International Flavors & Fragrances;Basic Materials;Specialty Chemicals
INTU;Intuit;Technology;Software—Application
ISRG;Intuitive Surgical;Healthcare;Medical Instruments & Supplies
IVZ;Invesco;Financial Services;Asset Management
INVH;Invitation Homes;Real Estate;REIT—Residential
IQV;IQVIA;Healthcare;Diagnostics & Research
IRM;Iron Mountain;Real Estate;REIT—Specialty
JBHT;J.B. Hunt;Industrials;Integrated Freight & Logistics
JKHY;Jack Henry & Associates;Technology;Information Technology Services
J;Jacobs Solutions;Industrials;Engineering & Construction
JNJ;Johnson & Johnson;Healthcare;Drug Manufacturers—General
JCI;Johnson Controls;Industrials;Building Products & Equipment
